uid,reg_date,device,gender,country,age
52774929,2018-03-07,and,F,FRA,27
84341593,2017-09-22,iOS,F,TUR,22
41201055,2017-11-24,and,F,USA,20
68477880,2016-12-08,and,F,BRA,18
42235969,2017-09-30,and,F,USA,41
14102564,2017-09-07,iOS,M,BRA,15
98623895,2016-12-20,and,M,TUR,19
18628946,2017-09-25,iOS,M,BRA,20
36197447,2017-11-07,and,M,BRA,16
65266941,2017-12-24,iOS,M,CAN,57
27697374,2017-04-03,iOS,M,DEU,16
43861756,2017-12-29,and,M,BRA,20
84821256,2017-08-09,iOS,F,USA,18
54882097,2018-01-05,iOS,F,USA,44
58087533,2017-10-15,iOS,M,TUR,16
36662758,2017-12-22,iOS,M,TUR,15
79822979,2017-08-14,iOS,F,FRA,15
70953129,2018-01-09,iOS,F,USA,19
50085256,2018-03-14,iOS,M,BRA,15
24969025,2016-12-10,and,F,USA,15
40143397,2016-07-02,and,F,DEU,56
42410062,2017-12-17,and,M,USA,15
48713079,2017-03-05,iOS,F,BRA,15
64286123,2017-12-10,iOS,M,BRA,27
86952926,2017-08-05,iOS,F,USA,47
74607723,2018-03-07,and,F,BRA,52
22310245,2017-10-02,iOS,M,FRA,17
40944117,2017-06-12,and,M,CAN,22
89856430,2017-06-05,and,M,TUR,31
55967961,2016-12-12,iOS,M,FRA,18
76188504,2016-09-24,iOS,M,BRA,54
90944569,2018-02-07,and,F,BRA,28
76493748,2017-06-07,iOS,M,BRA,24
50542360,2018-02-22,iOS,F,USA,38
41439361,2015-05-15,iOS,M,USA,15
87779359,2018-02-28,and,F,USA,62
73883721,2016-07-19,and,F,USA,17
19843985,2017-03-30,and,F,USA,31
48889747,2018-03-12,iOS,M,DEU,15
22648008,2018-01-12,iOS,F,DEU,22
67293376,2018-03-07,and,M,BRA,26
58683456,2017-12-23,iOS,F,USA,32
61429574,2016-12-09,and,M,BRA,27
13154714,2017-11-27,iOS,M,BRA,15
97986337,2017-06-20,iOS,F,USA,16
78199344,2017-12-13,and,F,BRA,16
33772603,2017-07-06,and,F,CAN,19
83001810,2017-11-04,and,M,FRA,41
92651148,2017-05-31,and,F,USA,26
44206083,2016-08-29,and,M,USA,49
15949385,2018-02-06,iOS,M,USA,22
52585431,2018-03-13,iOS,F,BRA,15
85723988,2017-09-13,and,M,FRA,31
87754279,2018-02-24,and,M,USA,18
16246601,2018-02-14,iOS,M,USA,15
63093445,2018-03-10,iOS,F,TUR,17
53246799,2017-06-25,and,F,BRA,15
52597055,2018-03-11,and,F,USA,27
32576034,2017-07-05,and,M,BRA,18
77722545,2017-09-21,and,M,USA,24
53152859,2016-09-06,iOS,M,USA,22
30545052,2015-07-16,iOS,M,DEU,35
56159914,2017-10-22,iOS,F,DEU,34
54588619,2018-01-05,and,F,TUR,44
59253296,2017-11-24,iOS,M,USA,20
81318579,2017-07-05,iOS,F,BRA,17
39508021,2015-05-25,and,M,USA,17
59682419,2017-11-30,and,F,USA,33
51760384,2018-03-15,iOS,F,USA,25
97500134,2017-10-29,and,F,USA,26
62454627,2017-07-20,iOS,M,BRA,22
78250752,2017-04-09,and,M,DEU,19
48517663,2017-12-02,iOS,M,USA,17
53288091,2016-11-06,and,M,USA,21
32063297,2017-11-12,iOS,F,USA,19
96531563,2017-10-01,and,M,USA,21
96336259,2018-02-19,and,M,DEU,16
67800039,2018-02-10,iOS,F,BRA,24
12159185,2017-11-18,and,F,TUR,15
75018819,2017-01-07,and,F,BRA,16
19545292,2018-01-21,and,F,CAN,26
73008412,2018-02-01,and,F,USA,31
23116764,2016-06-16,iOS,M,USA,21
52525771,2017-05-14,iOS,F,USA,15
61713511,2018-02-04,iOS,M,USA,23
19345381,2018-02-18,iOS,F,TUR,21
52636183,2018-02-26,and,F,BRA,33
47811088,2018-01-21,and,F,BRA,15
22161291,2017-12-30,and,M,USA,28
86095830,2018-03-15,iOS,M,BRA,17
42613742,2015-09-10,and,F,USA,16
67472727,2017-05-22,and,F,USA,23
52571114,2017-01-12,iOS,F,BRA,18
87557641,2017-05-18,and,M,USA,18
14103635,2017-03-23,iOS,M,FRA,29
18612992,2016-04-16,iOS,M,USA,17
56530186,2018-02-18,and,M,BRA,22
21589304,2017-04-25,iOS,M,BRA,29
91598445,2017-10-16,and,F,BRA,48
37631924,2018-03-14,and,F,USA,21
48472493,2017-10-14,and,M,FRA,25
57685948,2017-08-08,iOS,M,FRA,17
78757651,2017-11-09,and,M,BRA,19
29747480,2016-07-14,and,M,USA,48
24175509,2017-12-31,and,F,DEU,18
87696241,2017-10-20,iOS,F,DEU,26
51938271,2016-01-18,and,M,BRA,21
67972169,2017-07-05,iOS,F,USA,21
