uid,reg_date,device,gender,country,age
54030035,2017-06-29,and,M,USA,19
72574201,2018-03-05,iOS,F,TUR,22
64187558,2016-02-07,iOS,M,USA,16
92513925,2017-05-25,and,M,BRA,41
99231338,2017-03-26,iOS,M,FRA,59
64229733,2017-05-17,and,F,USA,17
16377492,2016-10-16,and,M,BRA,20
36350096,2017-04-07,and,M,USA,23
98955454,2016-08-11,and,M,USA,22
40461463,2017-07-16,and,M,BRA,32
99094125,2016-02-11,iOS,M,USA,16
60943517,2018-03-07,and,M,USA,22
13373345,2017-09-08,and,M,USA,19
89447705,2017-11-06,and,F,USA,20
74263197,2017-06-22,and,F,BRA,24
58375061,2016-06-26,iOS,M,USA,25
61798397,2016-12-29,and,F,USA,23
73480791,2017-08-20,iOS,M,BRA,45
50777128,2017-08-10,iOS,F,DEU,30
89464221,2018-01-24,iOS,F,USA,21
53378171,2017-12-02,iOS,M,USA,23
75142313,2017-05-30,iOS,F,USA,83
72086031,2017-03-28,iOS,F,USA,52
96565337,2018-01-16,and,M,DEU,20
36476360,2018-01-29,iOS,M,FRA,19
20819344,2017-11-09,and,M,BRA,33
16113980,2017-06-17,and,F,CAN,17
12223114,2017-07-08,and,F,BRA,16
89173956,2016-05-28,and,F,DEU,25
66770349,2018-02-17,and,F,USA,16
24708291,2016-01-28,and,F,TUR,37
66835609,2018-03-08,and,M,BRA,19
25358483,2016-04-07,and,M,USA,64
61509814,2017-08-18,iOS,F,USA,22
18720551,2017-07-05,iOS,M,DEU,24
87711484,2018-01-19,iOS,M,USA,19
43052026,2016-10-31,iOS,M,DEU,35
53111877,2017-02-15,iOS,M,USA,16
30657860,2016-09-28,and,M,USA,22
79481427,2016-03-03,and,M,TUR,17
30363170,2016-09-11,iOS,F,TUR,20
74247839,2017-04-04,and,F,USA,19
38628362,2018-03-08,and,F,USA,15
15487475,2017-11-19,iOS,F,CAN,17
25033821,2016-08-19,iOS,F,USA,21
90562190,2017-09-04,iOS,M,TUR,16
35580487,2017-09-29,and,F,USA,24
72243472,2015-08-03,iOS,F,USA,15
11309555,2015-02-16,and,F,USA,24
39486145,2017-11-26,iOS,M,USA,20
48325633,2017-11-20,iOS,M,USA,24
18035072,2017-09-26,and,M,BRA,23
67732177,2017-08-27,and,M,USA,17
23360771,2018-01-20,and,M,BRA,51
62526257,2017-03-17,iOS,M,USA,37
85426418,2018-02-26,and,F,TUR,19
59666846,2017-12-23,and,F,BRA,23
77010199,2018-02-04,and,F,CAN,30
67440775,2018-02-02,and,M,BRA,53
51271176,2018-01-14,and,F,USA,30
76661000,2017-10-18,iOS,M,DEU,31
45670233,2017-10-03,and,F,CAN,23
76906161,2017-11-08,and,F,TUR,26
65194975,2017-12-13,and,F,CAN,25
26829700,2016-08-22,and,M,USA,17
49518970,2015-06-05,and,M,USA,21
90279488,2018-02-14,and,F,CAN,26
98435331,2017-07-19,iOS,M,BRA,21
44131918,2015-08-25,iOS,F,USA,25
84379156,2017-04-03,and,F,DEU,25
69978208,2017-03-14,iOS,M,USA,16
21353457,2016-08-11,iOS,M,BRA,27
